crop_id,crop_name,bucket,bucket_label,status,code,evidence_count,source_count,source_ids,accepted_documents,accepted_sections,review_documents,review_sections
cai_xanh,Cải xanh,B01_CROP_PROFILE,Crop Profile,EVIDENCE_READY,R1,3,1,S02_EXTENSION,DOC0005|DOC0006|DOC0010,,,
cai_xanh,Cải xanh,B02_WATER,Water,EVIDENCE_READY,R1,3,1,S02_EXTENSION,DOC0005|DOC0006|DOC0010,,,
cai_xanh,Cải xanh,B03_NUTRITION,Nutrition,EVIDENCE_READY,R1,3,1,S02_EXTENSION,DOC0005|DOC0006|DOC0010,,,
cai_xanh,Cải xanh,B04_PEST_DISEASE,Pest & Disease,EVIDENCE_READY,R1,3,1,S02_EXTENSION,DOC0005|DOC0006|DOC0010,,,
cai_xanh,Cải xanh,B05_WEATHER_CARE,Weather Care,EVIDENCE_READY,R1,2,1,S02_EXTENSION,DOC0006|DOC0010,,,
cai_xanh,Cải xanh,B06_PESTICIDE_LEGAL,Pesticide Legal,LEGAL_CURRENT_READY,LEGAL,0,1,PESTICIDE_LIST_VN_CURRENT,,,,
cai_xanh,Cải xanh,B07_GAP_SAFETY,GAP & Safety,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0005,,,
cai_xanh,Cải xanh,B08_LOCAL,Local,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0005,,,
ngo,Ngò / ngò rí,B01_CROP_PROFILE,Crop Profile,MULTI_SOURCE_READY,R2+,2,2,S05_TNAU|S07_CTU,,SEC0017_NGO_CTU|SEC0018_NGO_TNAU,,
ngo,Ngò / ngò rí,B02_WATER,Water,MULTI_SOURCE_READY,R2+,2,2,S05_TNAU|S07_CTU,,SEC0017_NGO_CTU|SEC0018_NGO_TNAU,,
ngo,Ngò / ngò rí,B03_NUTRITION,Nutrition,MULTI_SOURCE_READY,R2+,2,2,S05_TNAU|S07_CTU,,SEC0017_NGO_CTU|SEC0018_NGO_TNAU,,
ngo,Ngò / ngò rí,B04_PEST_DISEASE,Pest & Disease,EVIDENCE_READY,R1,1,1,S05_TNAU,,SEC0018_NGO_TNAU,,
ngo,Ngò / ngò rí,B05_WEATHER_CARE,Weather Care,MULTI_SOURCE_READY,R2+,2,2,S05_TNAU|S07_CTU,,SEC0017_NGO_CTU|SEC0018_NGO_TNAU,,
ngo,Ngò / ngò rí,B06_PESTICIDE_LEGAL,Pesticide Legal,LEGAL_CURRENT_READY,LEGAL,0,1,PESTICIDE_LIST_VN_CURRENT,,,,
ngo,Ngò / ngò rí,B07_GAP_SAFETY,GAP & Safety,MISSING,--,0,0,,,,,
ngo,Ngò / ngò rí,B08_LOCAL,Local,MISSING,--,0,0,,,,,
cai_cuc,Cải cúc / tần ô,B01_CROP_PROFILE,Crop Profile,MULTI_SOURCE_READY,R2+,2,2,S02_EXTENSION|S06_UF_IFAS,,SEC0019_CAI_CUC_UF|SEC0020_CAI_CUC_KN,,
cai_cuc,Cải cúc / tần ô,B02_WATER,Water,EVIDENCE_READY,R1,1,1,S06_UF_IFAS,,SEC0019_CAI_CUC_UF,,
cai_cuc,Cải cúc / tần ô,B03_NUTRITION,Nutrition,EVIDENCE_READY,R1,1,1,S02_EXTENSION,,SEC0020_CAI_CUC_KN,,
cai_cuc,Cải cúc / tần ô,B04_PEST_DISEASE,Pest & Disease,EVIDENCE_READY,R1,1,1,S08_OMAFRA,,SEC0021_CAI_CUC_OMAFRA,,
cai_cuc,Cải cúc / tần ô,B05_WEATHER_CARE,Weather Care,EVIDENCE_READY,R1,1,1,S06_UF_IFAS,,SEC0019_CAI_CUC_UF,,
cai_cuc,Cải cúc / tần ô,B06_PESTICIDE_LEGAL,Pesticide Legal,LEGAL_CURRENT_READY,LEGAL,0,1,PESTICIDE_LIST_VN_CURRENT,,,,
cai_cuc,Cải cúc / tần ô,B07_GAP_SAFETY,GAP & Safety,MISSING,--,0,0,,,,,
cai_cuc,Cải cúc / tần ô,B08_LOCAL,Local,MISSING,--,0,0,,,,,
rau_muong,Rau muống,B01_CROP_PROFILE,Crop Profile,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
rau_muong,Rau muống,B02_WATER,Water,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
rau_muong,Rau muống,B03_NUTRITION,Nutrition,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
rau_muong,Rau muống,B04_PEST_DISEASE,Pest & Disease,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
rau_muong,Rau muống,B05_WEATHER_CARE,Weather Care,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
rau_muong,Rau muống,B06_PESTICIDE_LEGAL,Pesticide Legal,LEGAL_CURRENT_READY,LEGAL,0,1,PESTICIDE_LIST_VN_CURRENT,,,,
rau_muong,Rau muống,B07_GAP_SAFETY,GAP & Safety,MISSING,--,0,0,,,,,
rau_muong,Rau muống,B08_LOCAL,Local,MISSING,--,0,0,,,,,
xa_lach,Xà lách,B01_CROP_PROFILE,Crop Profile,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
xa_lach,Xà lách,B02_WATER,Water,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
xa_lach,Xà lách,B03_NUTRITION,Nutrition,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
xa_lach,Xà lách,B04_PEST_DISEASE,Pest & Disease,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
xa_lach,Xà lách,B05_WEATHER_CARE,Weather Care,EVIDENCE_READY,R1,1,1,S02_EXTENSION,DOC0010,,,
xa_lach,Xà lách,B06_PESTICIDE_LEGAL,Pesticide Legal,LEGAL_CURRENT_READY,LEGAL,0,1,PESTICIDE_LIST_VN_CURRENT,,,,
xa_lach,Xà lách,B07_GAP_SAFETY,GAP & Safety,MISSING,--,0,0,,,,,
xa_lach,Xà lách,B08_LOCAL,Local,MISSING,--,0,0,,,,,
