document_id,seed_id,source_id,requested_url,final_url,expected_bucket,http_status,content_type,file_size_bytes,checksum,raw_path,status,error
DOC0001,SEED001,S01_PPD,https://www.ppd.gov.vn/tin-moi-nhat-289/thong-tu-so-752025tt-bnnmt-ban-hanh-danh-muc-thuoc-bao-ve-thuc-vat-duoc-phep-su-dung-tai-viet-nam-va-danh-muc-thuoc-bao-ve-thuc-vat-cam-su-dung-tai-viet-nam.html,https://www.ppd.gov.vn/tin-moi-nhat-289/thong-tu-so-752025tt-bnnmt-ban-hanh-danh-muc-thuoc-bao-ve-thuc-vat-duoc-phep-su-dung-tai-viet-nam-va-danh-muc-thuoc-bao-ve-thuc-vat-cam-su-dung-tai-viet-nam.html,B06_PESTICIDE_LEGAL,200,text/html; charset=utf-8,178956,17d915cb94ad7f87a46a0c84c219e69dd0d1a4f38272238bf3a203f42b3fd4e9,data\agri_rag\raw\DOC0001.html,SUCCESS,
DOC0002,SEED002,S01_PPD,https://ppd.gov.vn/van-ban-chinh-sach/thong-tu-282026tt-bnnmt-ngay-3062026-sua-doi--bo-sung-thong-tu-so-752025tt-bnnmt.html,https://ppd.gov.vn/van-ban-chinh-sach/thong-tu-282026tt-bnnmt-ngay-3062026-sua-doi--bo-sung-thong-tu-so-752025tt-bnnmt.html,B06_PESTICIDE_LEGAL,200,text/html; charset=utf-8,179575,471ab1984270d42a376a46a6b4b8d8902ef1278f7b60279f7dd3d0e7ab559197,data\agri_rag\raw\DOC0002.html,SUCCESS,
DOC0003,SEED003,S01_PPD,https://www.ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/25.12.30_PL%201%20-%20Danh%20m%E1%BB%A5c%20%C4%91%C6%B0%E1%BB%A3c%20ph%C3%A9p%20s%E1%BB%AD%20d%E1%BB%A5ng.pdf,https://www.ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/25.12.30_PL%201%20-%20Danh%20m%E1%BB%A5c%20%C4%91%C6%B0%E1%BB%A3c%20ph%C3%A9p%20s%E1%BB%AD%20d%E1%BB%A5ng.pdf,B06_PESTICIDE_LEGAL,200,application/pdf,6773296,2e851bb4b2e453cf7c4ed669bfab82f0f066bf4ad2a927c1aae28b15c819089b,data\agri_rag\raw\DOC0003.pdf,SUCCESS,
DOC0004,SEED004,S01_PPD,https://ppd.gov.vn/FileUpload/Documents/P.%20Ke%20hoach/TBKT/21.03%2C01_QD288%20TBKT%20rau%20huu%20c%C6%A1.pdf,https://ppd.gov.vn/FileUpload/Documents/P.%20Ke%20hoach/TBKT/21.03%2C01_QD288%20TBKT%20rau%20huu%20c%C6%A1.pdf,B03_NUTRITION,200,application/pdf,3882957,e5e93e072ee3732f7734bcd06476371b5e3e87373a32acd9bb0fb77d0f146d72,data\agri_rag\raw\DOC0004.pdf,SUCCESS,
DOC0005,SEED005,S02_EXTENSION,https://khuyennongvn.gov.vn/chuong-trinh-nganh-nong-nghiep/tai-co-cau-nganh-nong-nghiep/binh-dinh-san-xuat-rau-huu-co-tu-rac-huu-co-va-phe-phu-pham-nong-nghiep-22879.html,https://khuyennongvn.gov.vn/chuong-trinh-nganh-nong-nghiep/tai-co-cau-nganh-nong-nghiep/binh-dinh-san-xuat-rau-huu-co-tu-rac-huu-co-va-phe-phu-pham-nong-nghiep-22879.html,B08_LOCAL,200,text/html; charset=utf-8,83526,79879ecfec2d71aa6ce782bfb63d836f1901ee850519b1479180d4d8825ca79c,data\agri_rag\raw\DOC0005.html,SUCCESS,
DOC0006,SEED006,S02_EXTENSION,https://khuyennongvn.gov.vn/khoa-hoc-cong-nghe/khcn-trong-nuoc/mot-so-bien-phap-ky-thuat-cham-soc-cay-rau-vu-dong-13340.html,https://khuyennongvn.gov.vn/khoa-hoc-cong-nghe/khcn-trong-nuoc/mot-so-bien-phap-ky-thuat-cham-soc-cay-rau-vu-dong-13340.html,B05_WEATHER_CARE,200,text/html; charset=utf-8,88681,35655b280b913a474eecb35dd89386d9611f50b9bf12f6b4c11f6c0d37edcb6a,data\agri_rag\raw\DOC0006.html,SUCCESS,
DOC0007,SEED007,S02_EXTENSION,https://khuyennongvn.gov.vn/khoa-hoc-cong-nghe/khcn-trong-nuoc/ky-thuat-trong-rau-cai-ngot-an-toan-16235.html,https://khuyennongvn.gov.vn/khoa-hoc-cong-nghe/khcn-trong-nuoc/ky-thuat-trong-rau-cai-ngot-an-toan-16235.html,B02_WATER,200,text/html; charset=utf-8,89507,3877f9b23a823509b171a7028f411aa7ca97e076332f1a07be2ca34195eb32c3,data\agri_rag\raw\DOC0007.html,SUCCESS,
DOC0008,SEED008,S02_EXTENSION,https://khuyennongvn.gov.vn/data/documents/0/2023/11/17/hangweb/so-5.pdf,https://khuyennongvn.gov.vn/data/documents/0/2023/11/17/hangweb/so-5.pdf,B01_CROP_PROFILE,200,application/pdf,16747111,6039461806f747b60a713349a0363eb58d0f9eb9b2ad9cc98c129fe4a6d4ad0e,data\agri_rag\raw\DOC0008.pdf,SUCCESS,
DOC0009,SEED009,S02_EXTENSION,https://khuyennongvn.gov.vn/data/documents/0/2023/11/24/hangweb/so-6.pdf,https://khuyennongvn.gov.vn/data/documents/0/2023/11/24/hangweb/so-6.pdf,B05_WEATHER_CARE,200,application/pdf,16574102,6b3c3983da68effb9c2752fd09bbd4b496af60bf726dc1748f833635f4406f53,data\agri_rag\raw\DOC0009.pdf,SUCCESS,
DOC0010,SEED010,S02_EXTENSION,https://khuyennongvn.gov.vn/ky-thuat-trong-trot/quy-trinh-ky-thuat-san-xuat-rau-thuy-canh-tuan-hoan-759.html,https://khuyennongvn.gov.vn/ky-thuat-trong-trot/quy-trinh-ky-thuat-san-xuat-rau-thuy-canh-tuan-hoan-759.html,B03_NUTRITION,200,text/html; charset=utf-8,76299,8b069d6412b901f1b790f1cf1aeb6d30a2af224129a13d6119e7f45b942323af,data\agri_rag\raw\DOC0010.html,SUCCESS,
