document_id,quality_status,quality_reasons,source_id,document_family,knowledge_scope,crop_entities,buckets,suggested_buckets,region,chunking_strategy,rag_eligible,raw_path,normalized_path
DOC0001,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulation,regulatory,,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0001.html,data\agri_rag\normalized\DOC0001.txt
DOC0002,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulation,regulatory,,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0002.html,data\agri_rag\normalized\DOC0002.txt
DOC0003,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulatory_attachment,regulatory,cai_cuc | cai_xanh | rau_muong | xa_lach,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0003.pdf,data\agri_rag\normalized\DOC0003.txt
DOC0004,REVIEW_REQUIRED,OCR_REQUIRED,S01_PPD,,,,,,,DOCUMENT_STRUCTURE,False,data\agri_rag\raw\DOC0004.pdf,
DOC0005,ACCEPTED,QUALITY_GATE_PASSED,S02_EXTENSION,local_extension_article,crop_specific,cai_xanh,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B07_GAP_SAFETY | B08_LOCAL,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B07_GAP_SAFETY | B08_LOCAL,BINH_DINH_LEGACY,DOCUMENT_STRUCTURE,True,data\agri_rag\raw\DOC0005.html,data\agri_rag\normalized\DOC0005.txt
DOC0006,ACCEPTED,QUALITY_GATE_PASSED,S02_EXTENSION,technical_guide,crop_specific,cai_xanh,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE,VIETNAM,DOCUMENT_STRUCTURE,True,data\agri_rag\raw\DOC0006.html,data\agri_rag\normalized\DOC0006.txt
DOC0007,REVIEW_REQUIRED,TARGET_CROP_SCOPE_UNCLEAR,S02_EXTENSION,technical_guide,general_agronomy,,,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE,VIETNAM,DOCUMENT_STRUCTURE,False,data\agri_rag\raw\DOC0007.html,data\agri_rag\normalized\DOC0007.txt
DOC0008,REVIEW_REQUIRED,SECTION_LEVEL_SELECTION_REQUIRED,S02_EXTENSION,extension_bulletin,general_agronomy,cai_xanh | xa_lach,,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE | B07_GAP_SAFETY,VIETNAM,SECTION_LEVEL,False,data\agri_rag\raw\DOC0008.pdf,data\agri_rag\normalized\DOC0008.txt
DOC0009,REVIEW_REQUIRED,SECTION_LEVEL_SELECTION_REQUIRED,S02_EXTENSION,extension_bulletin,general_agronomy,cai_xanh | xa_lach,,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE | B07_GAP_SAFETY,VIETNAM,SECTION_LEVEL,False,data\agri_rag\raw\DOC0009.pdf,data\agri_rag\normalized\DOC0009.txt
DOC0010,ACCEPTED,QUALITY_GATE_PASSED,S02_EXTENSION,technical_guide,crop_specific,cai_xanh | rau_muong | xa_lach,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE,VIETNAM,DOCUMENT_STRUCTURE,True,data\agri_rag\raw\DOC0010.html,data\agri_rag\normalized\DOC0010.txt
DOC0011,REJECTED,SOURCE_EVIDENCE_ONLY_NOT_PRIMARY_RAG_KNOWLEDGE,S03_ASISOV,institution_profile,local_context,,,B01_CROP_PROFILE | B08_LOCAL,SOUTH_CENTRAL_COAST,DOCUMENT_STRUCTURE,False,data\agri_rag\raw\DOC0011.html,data\agri_rag\normalized\DOC0011.txt
DOC0012,REVIEW_REQUIRED,SECTION_LEVEL_SELECTION_REQUIRED,S03_ASISOV,conference_proceedings,local_context,,,B01_CROP_PROFILE | B02_WATER | B03_NUTRITION | B04_PEST_DISEASE | B05_WEATHER_CARE | B07_GAP_SAFETY | B08_LOCAL,SOUTH_CENTRAL_COAST,SECTION_LEVEL,False,data\agri_rag\raw\DOC0012.pdf,data\agri_rag\normalized\DOC0012.txt
DOC0013,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulation,regulatory,,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0013.pdf,data\agri_rag\normalized\DOC0013.txt
DOC0014,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulatory_attachment,regulatory,,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0014.pdf,data\agri_rag\normalized\DOC0014.txt
DOC0015,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulation,regulatory,,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0015.pdf,data\agri_rag\normalized\DOC0015.txt
DOC0016,REVIEW_REQUIRED,LEGAL_VALIDATION_REQUIRED,S01_PPD,regulatory_attachment,regulatory,cai_xanh,,B06_PESTICIDE_LEGAL,VIETNAM,LEGAL_STRUCTURE,False,data\agri_rag\raw\DOC0016.pdf,data\agri_rag\normalized\DOC0016.txt
