location_id,grid_lat,grid_lon,cell_south,cell_north,cell_west,cell_east,center_inside_province,cell_intersects_province,covered_by_current_audit_box
binh_dinh_grid_001,14.75,108.75,14.625,14.875,108.625,108.875,False,True,False
binh_dinh_grid_002,14.75,109.0,14.625,14.875,108.875,109.125,False,True,False
binh_dinh_grid_003,14.5,108.75,14.375,14.625,108.625,108.875,True,True,False
binh_dinh_grid_004,14.5,109.0,14.375,14.625,108.875,109.125,True,True,False
binh_dinh_grid_005,14.5,109.25,14.375,14.625,109.125,109.375,False,True,False
binh_dinh_grid_006,14.25,108.75,14.125,14.375,108.625,108.875,True,True,False
binh_dinh_grid_007,14.25,109.0,14.125,14.375,108.875,109.125,True,True,False
binh_dinh_grid_008,14.25,109.25,14.125,14.375,109.125,109.375,False,True,False
binh_dinh_grid_009,14.0,108.75,13.875,14.125,108.625,108.875,False,True,False
binh_dinh_grid_010,14.0,109.0,13.875,14.125,108.875,109.125,True,True,True
binh_dinh_grid_011,14.0,109.25,13.875,14.125,109.125,109.375,True,True,True
binh_dinh_grid_012,13.75,108.75,13.625,13.875,108.625,108.875,False,True,False
binh_dinh_grid_013,13.75,109.0,13.625,13.875,108.875,109.125,True,True,True
binh_dinh_grid_014,13.75,109.25,13.625,13.875,109.125,109.375,False,True,True
binh_dinh_grid_015,13.5,108.75,13.375,13.625,108.625,108.875,False,True,False
binh_dinh_grid_016,13.5,109.0,13.375,13.625,108.875,109.125,False,True,True
