run_time,split,status,attempts,output_file,file_size_bytes,message_count,variable_count,min_lead,max_lead,verified,error,processed_at_utc
2026-05-14,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260514_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:17:56.178047+00:00
2026-05-15,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260515_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:21:05.380022+00:00
2026-05-16,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260516_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:22:35.390765+00:00
2026-05-17,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260517_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:24:43.375133+00:00
2026-05-18,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260518_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:26:10.630008+00:00
2026-05-19,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260519_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:27:11.715198+00:00
2026-05-20,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260520_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:28:41.096973+00:00
2026-05-21,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260521_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:30:08.170343+00:00
2026-05-22,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260522_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:31:36.905998+00:00
2026-05-23,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260523_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:33:03.628385+00:00
2026-05-24,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260524_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:37:38.829543+00:00
2026-05-25,train,downloaded,1,data\weather\raw\tigge\bulk\tigge_ecmwf_20260525_00Z_8vars_0_360_025deg_binh_dinh.grib2,103472,488,8,0,360,True,,2026-09-05T03:38:36.200140+00:00
