run_time,split,status,attempts,file_size_bytes,message_count,variable_count,min_lead,max_lead,verified,output_file,error,processed_at_utc
2026-05-14,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260514_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:07:42.342670+00:00
2026-05-15,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260515_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:08:41.867181+00:00
2026-05-16,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260516_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:10:11.127960+00:00
2026-05-17,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260517_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:11:12.990806+00:00
2026-05-18,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260518_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:12:12.252214+00:00
2026-05-19,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260519_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:14:18.863652+00:00
2026-05-20,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260520_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:17:22.935271+00:00
2026-05-21,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260521_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:18:24.487102+00:00
2026-05-22,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260522_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:19:24.414817+00:00
2026-05-23,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260523_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:20:24.393035+00:00
2026-05-24,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260524_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:21:49.514931+00:00
2026-05-25,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260525_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:24:55.177767+00:00
2026-05-26,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260526_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:27:03.101967+00:00
2026-05-27,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260527_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:29:07.634984+00:00
2026-05-28,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260528_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:30:35.583631+00:00
2026-05-29,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260529_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:31:39.260416+00:00
2026-05-30,train,downloaded,1,112760,488,8,0,360,True,data\weather\raw\tigge\bulk_full_binh_dinh\tigge_ecmwf_20260530_00Z_8vars_0_360_025deg_full_binh_dinh.grib2,,2026-09-05T19:33:06.779532+00:00
