short_name,units,step_type,step_range,start_step,lead_hours,grid_type,Ni,Nj,number_of_points,i_increment,j_increment,grid_lat,grid_lon,distance_km,value_raw
10u,m s**-1,instant,0,0,0,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,0.7723191380500793
10u,m s**-1,instant,6,6,6,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,-1.497492790222168
10u,m s**-1,instant,12,12,12,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,-0.5895436406135559
10u,m s**-1,instant,18,18,18,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.8354747295379639
10u,m s**-1,instant,24,24,24,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.0572163462638855
10u,m s**-1,instant,30,30,30,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,0.41506242752075195
10u,m s**-1,instant,36,36,36,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,-0.8955779075622559
10u,m s**-1,instant,42,42,42,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.519746720790863
10u,m s**-1,instant,48,48,48,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,2.0267271995544434
10u,m s**-1,instant,54,54,54,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,4.108141124248505
10u,m s**-1,instant,60,60,60,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,-0.6338558197021484
10u,m s**-1,instant,66,66,66,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,2.5686488151550293
10u,m s**-1,instant,72,72,72,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,2.8152117133140564
10u,m s**-1,instant,78,78,78,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,5.711897373199463
10u,m s**-1,instant,84,84,84,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.2758930921554565
10u,m s**-1,instant,90,90,90,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.351084977388382
10u,m s**-1,instant,96,96,96,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,-0.0869516134262085
10u,m s**-1,instant,102,102,102,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,5.58095645904541
10u,m s**-1,instant,108,108,108,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.926255226135254
10u,m s**-1,instant,114,114,114,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,2.9354465007781982
10u,m s**-1,instant,120,120,120,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,1.6514943838119507
10u,m s**-1,instant,126,126,126,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,4.910226345062256
10u,m s**-1,instant,132,132,132,regular_ll,3,3,9,0.25,0.25,13.75,109.25,4.647772807552562,4.1267054080963135
